appid,name,placement,developers,publishers,currency,windows,linux,mac,release_date,genre_racing,genre_adventure,genre_strategy,genre_simulation,genre_massively multiplayer,genre_casual,genre_rpg,genre_sports,genre_early access,genre_indie,genre_action,cat_remote_play_together,cat_multi-player,cat_co-op,cat_hdr_available,cat_steam_cloud,cat_includes_level_editor,cat_shared/split_screen_co-op,cat_remote_play_on_tablet,cat_steam_workshop,cat_full_controller_support,cat_steam_trading_cards,cat_online_pvp,cat_valve_anti-cheat_enabled,cat_lan_pvp,cat_steam_leaderboards,cat_stats,cat_shared/split_screen,cat_cross-platform_multiplayer,cat_downloadable_content,cat_pvp,cat_in-app_purchases,cat_remote_play_on_tv,cat_partial_controller_support,cat_mmo,cat_shared/split_screen_pvp,cat_single-player,cat_captions_available,cat_steam_achievements,cat_family_sharing,cat_remote_play_on_phone,cat_lan_co-op,cat_online_co-op
1466060,Tainted Grail: The Fall of Avalon,0,Questline,Awaken Realms,$30-$40,1,0,0,2025-05-23,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
553850,HELLDIVERS™ 2,2,Arrowhead Game Studios,PlayStation Publishing LLC,$40-$50,1,0,0,2024-02-08,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
2993780,FANTASY LIFE i: The Girl Who Steals Time,3,LEVEL5 Inc.,LEVEL5 Inc.,$50-$60,1,0,0,2025-05-21,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
2622380,ELDEN RING NIGHTREIGN,4,"FromSoftware, Inc.","FromSoftware, Inc.",$30-$40,1,0,0,2025-05-29,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
1903340,Clair Obscur: Expedition 33,5,Sandfall Interactive,Kepler Interactive,$40-$50,1,0,0,2025-04-24,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
2104890,RoadCraft,6,Saber Interactive,Focus Entertainment,$30-$40,1,0,0,2025-05-20,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
2183900,"Warhammer 40,000: Space Marine 2",7,Saber Interactive,Focus Entertainment,$50-$60,1,0,0,2024-09-09,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
3017860,DOOM: The Dark Ages,8,id Software,Bethesda Softworks,More than $60,1,0,0,2025-05-14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1091500,Cyberpunk 2077,9,CD PROJEKT RED,CD PROJEKT RED,$50-$60,1,0,0,2020-12-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1086940,Baldur's Gate 3,10,Larian Studios,Larian Studios,$50-$60,1,0,1,2023-08-03,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1
3164500,Schedule I,11,TVGS,TVGS,$10-$20,1,0,0,2025-03-24,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
2186680,"Warhammer 40,000: Rogue Trader",12,Owlcat Games,Owlcat Games,$40-$50,1,0,1,2023-12-07,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1
2623190,The Elder Scrolls IV: Oblivion Remastered,13,Bethesda Game Studios,Bethesda Softworks,$50-$60,1,0,0,2025-04-22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
1237950,STAR WARS™ Battlefront™ II,14,DICE,Electronic Arts,$30-$40,1,0,0,2020-06-11,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1142710,Total War: WARHAMMER III,15,CREATIVE ASSEMBLY,SEGA,More than $60,1,1,1,2022-02-16,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1
2742830,Monster Train 2,16,Shiny Shoe,Big Fan Games,$20-$30,1,0,0,2025-05-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
